"URN","LAESTAB","Region","Closed","SCHNAME","addmission_type","institution_type","ADDRESS1","ADDRESS2","ADDRESS3","TOWN","PCODE","OFSTED","TELNUM","disadv1617","dis_5e_m1617","nondis_5e_m1617","dis_p8_1617","nondis_p8_1617","dis_ebacc_ent_1617","nondis_ebacc_ent_1617"
100054,"2024611","London","No","The Camden School for Girls","Comprehensive (secondary)","Voluntary aided school","Sandall Road",NA,NA,"London","NW5 2DB",1,"0207 4853414",41,1,1,1,1,1,1
100055,"2024652","London","No","Maria Fidelis Roman Catholic Convent School FCJ","Comprehensive (secondary)","Voluntary aided school","34 Phoenix Road",NA,NA,"London","NW1 1TA",2,"0207 3873856",48,1,1,1,1,1,1
100050,"2024166","London","No","Parliament Hill School","Comprehensive (secondary)","Community school","Highgate Road",NA,NA,"London","NW5 1RL",2,"0207 4857077",99,1,1,1,1,1,1
137181,"2024000","London","No","The UCL Academy","Comprehensive (secondary)","Academy sponsor led","Adelaide Road",NA,"Swiss Cottage","Camden","NW3 3AQ",2,"0207 4493080",88,1,1,1,1,1,1
100059,"2025401","London","No","La Sainte Union Catholic Secondary School","Comprehensive (secondary)","Voluntary aided school","Highgate Road",NA,NA,"London","NW5 1RP",2,"0207 4284600",69,1,1,1,1,1,1
100053,"2024285","London","No","Acland Burghley School","Comprehensive (secondary)","Community school","Burghley Road",NA,NA,"London","NW5 1UJ",3,"0207 4858515",60,1,1,1,1,1,1
100193,"2034682","London","No","St Ursula's Convent School","Comprehensive (secondary)","Voluntary aided school","Crooms Hill","Greenwich",NA,"London","SE10 8HN",1,"0208 8584613",19,1,1,1,1,1,1
105135,"2036905","London","No","St Paul's Academy","Comprehensive (secondary)","Academy sponsor led","Finchale Road","Abbey Wood",NA,"London","SE2 9PX",2,"0208 3113868",84,1,1,1,1,1,1
137442,"2044302","London","No","Clapton Girls' Academy","Comprehensive (secondary)","Academy converter","Laura Place","Lower Clapton Road",NA,"London","E5 0RB",1,"0208 9856641",93,1,1,1,1,1,1
100282,"2044641","London","No","Our Lady's Convent Roman Catholic High School","Comprehensive (secondary)","Voluntary aided school","6-16 Amhurst Park","Stamford Hill",NA,"London","N16 5AF",2,"0208 8002158",58,1,1,1,1,1,1
134693,"2046905","London","No","Mossbourne Community Academy","Comprehensive (secondary)","Academy sponsor led","100 Downs Park Road","Hackney",NA,"London","E5 8JY",1,"0208 5255200",90,1,1,1,1,1,1
135835,"2046908","London","No","The City Academy, Hackney","Comprehensive (secondary)","Academy sponsor led","Homerton Row","Hackney",NA,"London","E9 6EA",1,"0208 5255440",101,1,1,1,1,1,1
138607,"2054632","London","No","Lady Margaret School","Comprehensive (secondary)","Academy converter","Parson's Green",NA,NA,"London","SW6 4UN",1,"0207 7367138",30,1,1,1,1,1,1
137157,"2055400","London","No","The London Oratory School","Comprehensive (secondary)","Academy converter","Seagrave Road",NA,NA,"London","SW6 1RX",1,"0207 3850102",14,1,1,1,1,1,1
137935,"2054620","London","No","Sacred Heart High School","Comprehensive (secondary)","Academy converter","212 Hammersmith Road",NA,"Hammersmith","London","W6 7DG",1,"0208 7487600",25,1,1,1,1,1,1
136750,"2054000","London","No","West London Free School","Comprehensive (secondary)","Free schools","241 King Street",NA,NA,"London","W6 9LP",2,"0208 6000670",48,1,1,1,1,1,1
100455,"2064307","London","No","Highbury Fields School","Comprehensive (secondary)","Community school","Highbury Hill",NA,NA,"London","N5 1AR",1,"0207 2881888",89,1,1,1,1,1,1
135587,"2066906","London","No","City of London Academy Islington","Comprehensive (secondary)","Academy sponsor led","Prebend Street","Islington",NA,"London","N1 8PQ",2,"0207 2268611",57,1,1,1,1,1,1
134314,"2066905","London","No","St Mary Magdalene Academy","Comprehensive (secondary)","Academy sponsor led","Liverpool Road","Islington",NA,"London","N7 8PG",2,"0207 6970123",91,1,1,1,1,1,1
100457,"2064324","London","No","Elizabeth Garrett Anderson School","Comprehensive (secondary)","Community school","Donegal Street","Islington",NA,"London","N1 9QG",1,"0207 8370739",109,1,1,1,1,1,1
140134,"2074320","London","No","Holland Park School","Comprehensive (secondary)","Academy converter","Airlie Gardens","Campden Hill Road",NA,"London","W8 7AF",1,"0207 9081000",107,1,1,1,1,1,1
100502,"2074681","London","No","Saint Thomas More Language College","Comprehensive (secondary)","Voluntary aided school","Cadogan Street",NA,NA,"London","SW3 2QS",1,"0207 5899734",38,1,1,1,1,1,1
100638,"2085401","London","No","Bishop Thomas Grant Catholic Secondary School","Comprehensive (secondary)","Voluntary aided school","Belltrees Grove",NA,NA,"London","SW16 2HY",1,"0208 7693294",40,1,1,1,1,1,1
100637,"2085400","London","No","La Retraite Roman Catholic Girls' School","Comprehensive (secondary)","Voluntary aided school","Atkins Road",NA,NA,"London","SW12 0AB",1,"0208 6735644",50,1,1,1,1,1,1
136450,"2084322","London","No","Platanos College","Comprehensive (secondary)","Academy converter","Clapham Road",NA,NA,"London","SW9 0AL",1,"0207 7336156",120,1,1,1,1,1,1
137093,"2085402","London","No","Dunraven School","Comprehensive (secondary)","Academy converter","94-98 Leigham Court Road","Streatham",NA,"London","SW16 2QB",1,"0208 6965600",93,1,1,1,1,1,1
100741,"2094204","London","No","Sydenham School","Comprehensive (secondary)","Community school","Dartmouth Road",NA,NA,"London","SE26 4RD",2,"0208 6996731",72,1,1,1,1,1,1
135073,"2096905","London","No","Haberdashers' Aske's Hatcham College","Comprehensive (secondary)","Academy sponsor led","Pepys Road",NA,"New Cross","London","SE14 5SF",1,"0207 6529510",74,1,1,1,1,1,1
